точка,вычисленное_значение,точное_значение,абс_ошибка,относ_ошибка
0.013900463348778293,0.00884912,0.00884911982668935,1.73310647083591e-10,1.95850717877379e-8
0.01400046668222274,0.00891278,0.00891277979609236,2.03907640772272e-10,2.28781194435874e-8
0.014100470015667188,0.00897644,0.00897643970607313,2.93926865485572e-10,3.27442588684651e-8
0.014200473349111637,0.0090401,0.00904009955620725,4.43792749077465e-10,4.90915776169356e-8
0.014300476682556084,0.00910376,0.00910375934607029,6.53929710728307e-10,7.18307334144054e-8
0.014400480016000533,0.00916742,0.00916741907523783,9.24762171353177e-10,1.00874866051469e-7
0.014500483349444981,0.00923108,0.00923107874328545,1.25671455013243e-9,1.36139511420635e-7
0.014600486682889428,0.00929474,0.00929473834978873,1.6502112714506e-9,1.77542520205592e-7
0.014700490016333877,0.0093584,0.00935839789432325,2.1056767527533e-9,2.25003977850268e-7
0.014800493349778326,0.00942206,0.00942205737646459,2.62353541148619e-9,2.78446129797626e-7
0.014900496683222773,0.00948572,0.00948571679578833,3.20421167029905e-9,3.37793309556103e-7
0.015000500016667221,0.00954938,0.00954937615187006,3.84812994316808e-9,4.02971867645147e-7
0.01510050335011167,0.00961304,0.00961303544428535,4.55571465100835e-9,4.73910106431852e-7
0.015200506683556117,0.00967669,0.00967669467260979,4.67260979040984e-9,4.82872504301799e-7
0.015300510017000566,0.00974035,0.00974035383641896,3.83641896375964e-9,3.93868541923137e-7
0.015400513350445014,0.00980401,0.00980401293528846,2.93528845500546e-9,2.99396632183217e-7
0.015500516683889463,0.00986767,0.00986767196879385,1.96879384670168e-9,1.99519588077958e-7
0.01560052001733391,0.00993133,0.00993133093651072,9.36510723137385e-10,9.42986120420351e-8
0.01570052335077836,0.00999499,0.00999498983801467,1.61985327928882e-10,1.62066525867375e-8
0.015800526684222806,0.0100586,0.0100586486728813,4.8672881277495e-8,4.83890857067919e-6
0.015900530017667256,0.0101223,0.0101223074406861,7.44068612626436e-9,7.35078060919371e-7
0.016000533351111703,0.010186,0.0101859661410048,3.38589951943968e-8,3.3240828334162e-6
0.01610053668455615,0.0102496,0.0102496247734129,2.47734129026761e-8,2.41700681224158e-6
0.0162005400180006,0.0103133,0.010313283337486,1.66625139918358e-8,1.61563620866077e-6
0.016300543351445047,0.0103769,0.0103769418327997,4.18327997069035e-8,4.03132255889167e-6
0.016400546684889494,0.0104406,0.0104406002589296,2.5892958784024e-10,2.48002587393367e-8
0.016500550018333945,0.0105043,0.0105042586154512,4.13845487531872e-8,3.93978768652676e-6
0.01660055335177839,0.0105679,0.0105679169019403,1.69019402657816e-8,1.59936347162978e-6
0.01670055668522284,0.0106316,0.0106315751179722,2.48820277576334e-8,2.34038959224687e-6
0.01680056001866729,0.0106952,0.0106952332631228,3.3263122766608e-8,3.11008857358814e-6
0.016900563352111736,0.0107589,0.0107588913369674,8.66303257428258e-9,8.05197515445788e-7
0.017000566685556183,0.0108225,0.0108225493390818,4.93390818166739e-8,4.55891493457501e-6
0.017100570019000633,0.0108862,0.0108862072690415,7.26904153536267e-9,6.6772948144822e-7
0.01720057335244508,0.0109499,0.0109498651264222,3.48735778310516e-8,3.18484085650666e-6
0.017300576685889527,0.0110135,0.0110135229107993,2.29107993150041e-8,2.08024257982508e-6
0.017400580019333978,0.0110772,0.0110771806217486,1.93782514288504e-8,1.74938480185603e-6
0.017500583352778425,0.0111408,0.0111408382588455,3.82588455291599e-8,3.43410833519186e-6
0.01760058668622287,0.0112045,0.0112044958216658,4.17833421507974e-9,3.72915861740723e-7
0.017700590019667322,0.0112682,0.0112681533097849,4.66902150639964e-8,4.14355518391007e-6
0.01780059335311177,0.0113318,0.0113318107227786,1.07227785799829e-8,9.46254649089959e-7
0.01790059668655622,0.0113955,0.0113954680602223,3.19397776837871e-8,2.80284912494951e-6
0.018000600020000666,0.0114591,0.0114591253216917,2.53216917382032e-8,2.20974036195069e-6
0.018100603353445113,0.0115228,0.0115227825067624,1.74932375512221e-8,1.51814351606807e-6
0.018200606686889564,0.0115864,0.0115864396150101,3.96150100501202e-8,3.41908397773726e-6
0.01830061002033401,0.0116501,0.0116500966460101,3.35398986188451e-9,2.87893737151552e-7
0.018400613353778458,0.0117138,0.0117137535993383,4.64006616861939e-8,3.96121203068962e-6
0.018500616687222908,0.0117774,0.0117774104745702,1.04745701817038e-8,8.89378034622397e-7
0.018600620020667355,0.0118411,0.0118410672712813,3.27287186588365e-8,2.76400073627239e-6
0.018700623354111802,0.0119047,0.0119047239890474,2.3989047396103e-8,2.01508639899239e-6
0.018800626687556252,0.0119684,0.011968380627444,1.93725560471841e-8,1.61864471465283e-6
0.0189006300210007,0.012032,0.0120320371860466,3.71860466117507e-8,3.09058607729241e-6
0.019000633354445146,0.0120957,0.012095693664431,6.33556902253363e-9,5.23787159114358e-7
0.019100636687889597,0.0121594,0.0121593500621727,4.99378273437906e-8,4.10694873363656e-6
0.019200640021334044,0.012223,0.0122230063788473,6.37884725422644e-9,5.21872201976724e-7
0.01930064335477849,0.0122867,0.0122866626140304,3.7385969622189e-8,3.0428091658067e-6
0.01940064668822294,0.0123503,0.0123503187672976,1.87672976360853e-8,1.51958001960723e-6
0.019500650021667388,0.012414,0.0124139748382246,2.51617753663919e-8,2.0268911200696e-6
0.019600653355111835,0.0124776,0.012477630826387,3.08263869795017e-8,2.47053205900605e-6
0.019700656688556285,0.0125413,0.0125412867313603,1.32686397112669e-8,1.05799667884395e-6
0.019800660022000732,0.0126049,0.0126049425527202,4.25527201634857e-8,3.37587577112177e-6
0.01990066335544518,0.0126686,0.0126685982900422,1.7099577830082e-9,1.34976083677488e-7
0.02000066668888963,0.0127323,0.0127322539429021,4.60570979358282e-8,3.61735621507036e-6
0.020100670022334077,0.0127959,0.0127959095108753,9.51087531127215e-9,7.43274661519412e-7
0.020200673355778524,0.0128596,0.0128595649935376,3.50064624250052e-8,2.72221202193659e-6
0.020300676689222974,0.0129232,0.0129232203904645,2.03904644696662e-8,1.57781604368008e-6
0.02040068002266742,0.0129869,0.0129868757012316,2.42987683966855e-8,1.87102494501508e-6
0.020500683356111868,0.0130505,0.0130505309254146,3.09254145937354e-8,2.36966716282336e-6
0.02060068668955632,0.0131142,0.0131141860625891,1.39374109388996e-8,1.06277361563415e-6
0.020700690023000765,0.0131778,0.0131778411123306,4.1112330612797e-8,3.11980773324152e-6
0.020800693356445216,0.0132415,0.0132414960742149,3.92578512579955e-9,2.9647594980961e-7
0.020900696689889663,0.0133052,0.0133051509478175,4.9052182544973e-8,3.68670620376033e-6
0.02100070002333411,0.0133688,0.013368805732714,5.73271397713571e-9,4.28812722042832e-7
0.02110070335677856,0.0134325,0.0134324604284801,3.95715199375674e-8,2.9459621448592e-6
